ID,SentDate,report_type_id,ClickCount,DesktopClicks,DesktopOpens,Devices,EngagedReads,Ignored,Interactions,LinksClicked,LinksSent,Messages,MobileOpens,MobileClicks,MobileUnique,MultipleOpens,MultipleResponses,MultipleClicks,MultipleReads,NewOpens,NonUniqueClicks,NonUniqueOpens,Oof,OpenCount,OptOutCount,OptIns,ReadCount,ReadRate,Recipients,ReplyCount,Sent,Skimmed,UndeliverableCount,OpenRate,ReadsRate,ClickRate,AttentionRate,EffectiveRate,EngagementRate,UndeliverableRate,OofRate,OptOutRate,MultipleOpenRate,MultipleReadRate,ContentUtilization,EngagedReadRate,IgnoredRate,SkimmedRate,ForwardRate,ReplyRate,LeftOpen
269,2018-04-18T18:26:36.8130000+00:00,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,1,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1
270,2018-04-18T18:26:36.8130000+00:00,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,1,0,0,3333,0,0,0,3333,0,0,0,0,0,0,0,0,0,0,0,3333,0,0,1
271,2018-04-18T18:52:54.2200000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,2018-04-18T18:55:54.5270000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,2018-04-18T18:56:39.8170000+00:00,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,1,0,0,3333,0,0,0,3333,0,0,0,0,0,0,0,0,0,0,0,3333,0,0,1
274,2018-04-18T19:28:57.7770000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2018-04-18T19:30:28.0400000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,2018-04-18T19:32:28.4200000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,2018-04-18T19:35:13.8570000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,2018-04-18T19:40:15.1570000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,2018-04-18T19:42:15.3470000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2018-04-18T19:43:15.5400000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,2018-04-18T19:44:15.7070000+00:00,8,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,1,0,0,1,0,25,0,0,4,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,1
282,2018-04-19T11:26:46.4800000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,2018-04-19T11:32:02.5600000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,2018-04-19T11:56:37.0600000+00:00,8,0,0,1,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,1,0,0,6667,0,0,0,3333,0,0,0,0,0,0,0,0,0,-0,3333,0,3333,0,0,0
285,2018-04-19T12:00:38.0400000+00:00,8,0,0,1,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,2,0,0,1,0,25,0,0,4,1,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,1
286,2018-04-19T18:52:25.9070000+00:00,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,2018-04-19T20:55:05.8730000+00:00,8,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
288,2018-04-19T20:56:36.6400000+00:00,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,2018-04-19T21:05:40.9730000+00:00,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,2018-04-19T22:11:49.2170000+00:00,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
