Source,Target,Group Source,Group Target
DUBAI TRANSPORT COMPANY LLC,KS ENERGY LIMITED,UAEDUBAIT,198300104G
ECLIPSE INFOTECH,,SG52998064M,
ECO PALM PAPER SDN. BHD.,,704625-W,
EDLYN LUM WEN EE,LUM CHANG INVESTMENTS PTE LTD,SGUnknown,198403391K
EMEDIFILE SDN. BHD.,,589801-X,
EMLYN LUM WEN YAN,LUM CHANG INVESTMENTS PTE LTD,SGUnknown,198403391K
ENIGMA VENTURE (M) SDN. BHD.,,665475-D,
ESA ELECTRONICS PTE LTD,INNOPAC HOLDINGS LIMITED,199201933H,197301788K
EU ASIA HOLIDAYS PTE. LTD.,,201317245C,
EU HOLIDAYS PTE. LTD.,,201022285W,
EU MICE PTE. LTD.,,201317237K,
EXCEL-ANN TECHNOLOGY PTE. LTD.,,201707817H,
EXCELTEC PROPERTY MANAGEMENT PTE LTD,EXCEL-ANN TECHNOLOGY PTE. LTD.,199708207E,201707817H
EXPAND CONSTRUCTION PTE. LTD.,,200005999D,
EXPAND CONSTRUCTION PTE. LTD.,,200005999D,
EXPLOMO GROUP PTE. LTD.,EXPLOMO TECHNICAL SERVICES PTE. LTD.,201615186G,198804389R
EXPLOMO TECHNICAL SERVICES PTE. LTD.,,198804389R,
EXTERA PTE. LTD.,DEZHOU SHENG RONG GAS CO LTD ,201024416C,CN371400400004400
EXTERA PTE. LTD.,,201024416C,
FANG BOON SING,CLEARBRIDGE HEALTH LIMITED,SG254H,201001436C
FOODCLIQUE (CAPEVIEW) PTE. LTD.,,201539150C,
FOODCLIQUE PTE. LTD.,,201021185G,
FOODTALKS CATERER & MANUFACTURER,,53029450L,
FOODWERKZ HUB PTE. LTD.,,201202960K,
FOUR SEAS NOMINEES PRIVATE LIMITED,LUM CHANG HOLDINGS LIMITED,196600164D,198203949N
GANDA KUAT SDN BHD,,138144-K,
GAY BOON BENG JACOB,MIDAS NSSG INTERNATIONAL PTE. LTD.,SG104D,201528233H
GILBERT INVESTMENT CORPORATION PTE. LTD.,AGP ASIA HOLDING PTE. LTD.,201312056N,201312063N
GLEVIN INVESTMENT PTE. LTD.,,201216804G,
GLOBALTECH SYSTEMS ENGINEERING PTE. LTD.,PT GLOBALTECH SYSTEMS ENGINEERING,200105112M,INDPTGLOBAL
GLOBALTECH SYSTEMS ENGINEERING PTE. LTD.,,200105112M,
GOH SENG POH,AIRE-MAX ASIA PTE. LTD.,SG877A,201817870K
GOH SHEN SHU DONOVAN ,KATRINA GROUP LTD.,SG726G,201608344N
GOH SIOW KHIM @ GOH SEOW KIN,NO SIGNBOARD HOLDINGS LTD.,SG880F,201715253N
GOI KOK MING,NO SIGNBOARD HOLDINGS LTD.,SG300I,201715253N
GOLDEN EAGLE MINING PTE. LTD.,ARTEL TRADE LLC,201024226E,KGARTELT
"GOURMET EXPRESS FOOD HOUSE PTE. LTD.	",,200613753E,
GUGONG PTE. LTD.,NO SIGNBOARD HOLDINGS LTD.,199308096E,201715253N
